Country,Viewer Age Group,Viewer Gender,Viewer Percent
Singapore,35-44,f,100.0
India,25-34,m,68.9
United States,25-34,m,57.7
United States,25-34,f,42.3
India,25-34,f,16.3
India,35-44,m,9.0
India,18-24,m,5.7
India,55-64,f,0.0
India,65-,f,0.0
India,55-64,m,0.0
India,45-54,f,0.0
India,35-44,f,0.0
India,18-24,f,0.0
India,65-,m,0.0
India,45-54,m,0.0
India,13-17,m,0.0
Vietnam,55-64,f,0.0
Vietnam,65-,f,0.0
Vietnam,25-34,m,0.0
Vietnam,25-34,f,0.0
Vietnam,55-64,m,0.0
Vietnam,45-54,f,0.0
Vietnam,35-44,f,0.0
Vietnam,18-24,f,0.0
Vietnam,65-,m,0.0
Vietnam,35-44,m,0.0
Vietnam,45-54,m,0.0
Vietnam,18-24,m,0.0
Vietnam,13-17,m,0.0
Thailand,55-64,f,0.0
Thailand,65-,f,0.0
Thailand,25-34,m,0.0
Thailand,25-34,f,0.0
Thailand,55-64,m,0.0
Thailand,45-54,f,0.0
Thailand,35-44,f,0.0
Thailand,18-24,f,0.0
Thailand,65-,m,0.0
Thailand,35-44,m,0.0
Thailand,45-54,m,0.0
Thailand,18-24,m,0.0
Thailand,13-17,m,0.0
Malaysia,55-64,f,0.0
Malaysia,65-,f,0.0
Malaysia,25-34,m,0.0
Malaysia,25-34,f,0.0
Malaysia,55-64,m,0.0
Malaysia,45-54,f,0.0
Malaysia,35-44,f,0.0
Malaysia,18-24,f,0.0
Malaysia,65-,m,0.0
Malaysia,35-44,m,0.0
Malaysia,45-54,m,0.0
Malaysia,18-24,m,0.0
Malaysia,13-17,m,0.0
Indonesia,55-64,f,0.0
Indonesia,65-,f,0.0
Indonesia,25-34,m,0.0
Indonesia,25-34,f,0.0
Indonesia,55-64,m,0.0
Indonesia,45-54,f,0.0
Indonesia,35-44,f,0.0
Indonesia,18-24,f,0.0
Indonesia,65-,m,0.0
Indonesia,35-44,m,0.0
Indonesia,45-54,m,0.0
Indonesia,18-24,m,0.0
Indonesia,13-17,m,0.0
Singapore,55-64,f,0.0
Singapore,65-,f,0.0
Singapore,25-34,m,0.0
Singapore,25-34,f,0.0
Singapore,55-64,m,0.0
Singapore,45-54,f,0.0
Singapore,18-24,f,0.0
Singapore,65-,m,0.0
Singapore,35-44,m,0.0
Singapore,45-54,m,0.0
Singapore,18-24,m,0.0
Singapore,13-17,m,0.0
United Arab Emirates,55-64,f,0.0
United Arab Emirates,65-,f,0.0
United Arab Emirates,25-34,m,0.0
United Arab Emirates,25-34,f,0.0
United Arab Emirates,55-64,m,0.0
United Arab Emirates,45-54,f,0.0
United Arab Emirates,35-44,f,0.0
United Arab Emirates,18-24,f,0.0
United Arab Emirates,65-,m,0.0
United Arab Emirates,35-44,m,0.0
United Arab Emirates,45-54,m,0.0
United Arab Emirates,18-24,m,0.0
United Arab Emirates,13-17,m,0.0
United States,55-64,f,0.0
United States,65-,f,0.0
United States,55-64,m,0.0
United States,45-54,f,0.0
United States,35-44,f,0.0
United States,18-24,f,0.0
United States,65-,m,0.0
United States,35-44,m,0.0
United States,45-54,m,0.0
United States,18-24,m,0.0
United States,13-17,m,0.0
Taiwan,55-64,f,0.0
Taiwan,65-,f,0.0
Taiwan,25-34,m,0.0
Taiwan,25-34,f,0.0
Taiwan,55-64,m,0.0
Taiwan,45-54,f,0.0
Taiwan,35-44,f,0.0
Taiwan,18-24,f,0.0
Taiwan,65-,m,0.0
Taiwan,35-44,m,0.0
Taiwan,45-54,m,0.0
Taiwan,18-24,m,0.0
Taiwan,13-17,m,0.0
Hong Kong,55-64,f,0.0
Hong Kong,65-,f,0.0
Hong Kong,25-34,m,0.0
Hong Kong,25-34,f,0.0
Hong Kong,55-64,m,0.0
Hong Kong,45-54,f,0.0
Hong Kong,35-44,f,0.0
Hong Kong,18-24,f,0.0
Hong Kong,65-,m,0.0
Hong Kong,35-44,m,0.0
Hong Kong,45-54,m,0.0
Hong Kong,18-24,m,0.0
Hong Kong,13-17,m,0.0
